id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
106,109.2,-gneE15_0,5.1,0,3.2,196,gneE33_0,85.6,13.47,86.8,474.71,12.8,2,0,50.36,1,tripinfo_106 routing_106,DEFAULT_VEHTYPE,1,
189,188.8,-gneE41_0,5.1,0,-0.2,198.8,-gneE41_0,89.6,12.95,10,84.5,0,0,0,3.19,1,tripinfo_189 routing_189,DEFAULT_VEHTYPE,0.94,
128,128,-gneE45_0,5.1,0,0,200.4,gneE33_0,85.6,14.45,72.4,374.92,31.2,1,0,45.5,1,tripinfo_128 routing_128,DEFAULT_VEHTYPE,1.06,
124,124,gneE38_0,5.1,0,0,201.6,-gneE30_0,85.6,12.24,77.6,578.92,18,1,0,29.04,1,tripinfo_124 routing_124,DEFAULT_VEHTYPE,0.89,
143,142.8,-gneE29_0,5.1,0,-0.2,202,gneE53_0,85.6,14.15,59.2,480.08,5.2,2,0,23.95,1,tripinfo_143 routing_143,DEFAULT_VEHTYPE,1.02,
140,140.8,-gneE12_0,5.1,0,0.8,202.4,-gneE51_0,85.6,12.75,61.6,681.42,0,0,0,7.43,1,tripinfo_140 routing_140,DEFAULT_VEHTYPE,0.94,
82,82,-gneE15_0,5.1,0,0,202.8,-gneE26_0,85.6,12.14,120.8,579.87,36.4,5,0,71.96,1,tripinfo_82 routing_82,DEFAULT_VEHTYPE,0.91,
32,32,-gneE0_0,5.1,0,0,203.6,gneE6_0,85.6,11.73,171.6,565.52,90.4,4,0,121.24,1,tripinfo_32 routing_32,DEFAULT_VEHTYPE,0.88,
96,96,gneE34_0,5.1,0,0,204,gneE48_0,85.6,7.94,108,474.92,34,2,0,73.49,1,tripinfo_96 routing_96,DEFAULT_VEHTYPE,1.03,
57,56.8,gneE33_0,5.1,0,-0.2,204.4,gneE0_0,89.6,13.09,147.6,860.57,49.6,3,0,80.26,1,tripinfo_57 routing_57,DEFAULT_VEHTYPE,0.96,
75,74.8,gneE6_0,5.1,0,-0.2,205.2,gneE51_0,85.6,13.46,130.4,569.76,62,3,0,86.84,1,tripinfo_75 routing_75,DEFAULT_VEHTYPE,0.97,
104,104,-gneE29_0,5.1,0,0,205.2,-gneE40_0,85.6,15.43,101.2,574.71,36.8,2,0,63.25,1,tripinfo_104 routing_104,DEFAULT_VEHTYPE,1.15,
117,116.8,-gneE4_0,5.1,0,-0.2,205.2,-gneE26_0,85.6,12.24,88.4,480.08,14.4,2,0,48.38,1,tripinfo_117 routing_117,DEFAULT_VEHTYPE,0.91,
50,50,-gneE0_0,5.1,0,0,205.6,-gneE27_0,89.6,13.44,155.6,782.76,46.4,4,0,95.97,1,tripinfo_50 routing_50,DEFAULT_VEHTYPE,0.99,
160,160,gneE12_0,5.1,0,0,207.2,gneE5_0,85.6,15.08,47.2,269.76,7.6,2,0,28.49,1,tripinfo_160 routing_160,DEFAULT_VEHTYPE,1.11,
95,98,-gneE5_0,6.6,0,3,207.6,-gneE26_0,85.6,13.46,109.6,578.58,27.6,2,0,66.32,1,tripinfo_95 routing_95,bus,1,
136,147.2,-gneE37_0,5.1,0,11.2,212,gneE26_0,85.6,16.09,64.8,680.68,8.4,1,0,22.51,1,tripinfo_136 routing_136,DEFAULT_VEHTYPE,1.18,
87,86.8,-gneE52_0,5.1,0,-0.2,216,gneE39_0,85.6,13.33,129.2,579.87,46,4,0,83.7,1,tripinfo_87 routing_87,DEFAULT_VEHTYPE,0.97,
207,206.8,gneE51_0,5.1,0,-0.2,216.4,gneE51_0,85.6,12.25,9.6,80.5,0,0,0,3,1,tripinfo_207 routing_207,DEFAULT_VEHTYPE,0.89,
195,199.2,-gneE27_0,5.1,0,4.2,218.4,gneE34_0,85.6,12.61,19.2,184.29,0,0,0,3.79,0,tripinfo_195 routing_195,DEFAULT_VEHTYPE,0.92,
153,152.8,gneE37_0,5.1,0,-0.2,223.6,gneE33_0,85.6,14.24,70.8,776.26,1.2,1,0,14.5,1,tripinfo_153 routing_153,DEFAULT_VEHTYPE,1.04,
