id,depart,departLane,departPos,departSpeed,departDelay,arrival,arrivalLane,arrivalPos,arrivalSpeed,duration,routeLength,waitingTime,waitingCount,stopTime,timeLoss,rerouteNo,devices,vType,speedFactor,vaporized
74,78.4,-gneE5_0,5.1,0,4.4,273.6,-gneE50_0,85.6,5.09,195.2,374.71,132.8,6,0,166.62,1,tripinfo_74 routing_74,DEFAULT_VEHTYPE,1.02,
115,116,gneE45_0,5.1,0,1,273.6,-gneE35_0,85.6,5.98,157.6,369.55,92.4,5,0,130.22,1,tripinfo_115 routing_115,DEFAULT_VEHTYPE,1.06,
171,170.8,-gneE13_0,5.1,0,-0.2,274.4,-gneE42_0,89.6,13.95,103.6,579.13,44.8,2,0,61.2,1,tripinfo_171 routing_171,DEFAULT_VEHTYPE,1,
142,148.8,gneE3_0,5.1,0,6.8,275.2,-gneE35_0,85.6,7.77,126.4,280.08,70.4,4,0,105.45,1,tripinfo_142 routing_142,DEFAULT_VEHTYPE,1.03,
159,158.8,gneE33_0,5.1,0,-0.2,275.2,-gneE3_0,85.6,7.4,116.4,464.39,42.4,5,0,79.35,1,tripinfo_159 routing_159,DEFAULT_VEHTYPE,0.95,
158,158,gneE28_0,5.1,0,0,275.6,-gneE50_0,85.6,8.48,117.6,573.76,51.2,2,0,74.82,1,tripinfo_158 routing_158,DEFAULT_VEHTYPE,1,
120,120,-gneE5_0,5.1,0,0,277.2,-gneE50_0,85.6,9.65,157.2,374.71,71.6,6,0,129.93,1,tripinfo_120 routing_120,DEFAULT_VEHTYPE,1.07,
219,220.4,gneE27_0,5.1,0,1.4,277.6,gneE52_0,85.6,9.45,57.2,471.1,1.6,1,0,14.01,1,tripinfo_219 routing_219,DEFAULT_VEHTYPE,0.83,
180,180,-gneE15_0,5.1,0,0,278.8,-gneE33_0,85.6,11.84,98.8,579.87,20,3,0,48.59,1,tripinfo_180 routing_180,DEFAULT_VEHTYPE,0.88,
172,172,gneE49_0,5.1,0,0,279.6,gneE3_0,85.6,9.6,107.6,760.57,18.4,2,0,54.15,1,tripinfo_172 routing_172,DEFAULT_VEHTYPE,1.07,
152,152,-gneE50_0,5.1,0,0,280.4,gneE31_0,85.6,13.32,128.4,464.39,65.6,3,0,91.09,1,tripinfo_152 routing_152,DEFAULT_VEHTYPE,0.96,
217,216.8,gneE36_0,5.1,0,-0.2,281.2,gneE43_0,85.6,11.85,64.4,580.08,0,0,0,14.94,1,tripinfo_217 routing_217,DEFAULT_VEHTYPE,0.87,
212,212,-gneE37_0,5.1,0,0,281.6,-gneE50_0,85.6,8.62,69.6,378.92,13.6,1,0,43,1,tripinfo_212 routing_212,DEFAULT_VEHTYPE,1.1,
218,218,gneE28_0,5.1,0,0,283.2,-gneE49_0,85.6,14.61,65.2,775.31,0,0,0,11.89,1,tripinfo_218 routing_218,DEFAULT_VEHTYPE,1.06,
164,164,-gneE12_0,5.1,0,0,285.2,-gneE40_0,85.6,9.98,121.2,769.34,14.8,3,0,41.43,1,tripinfo_164 routing_164,DEFAULT_VEHTYPE,0.73,
186,186,gneE34_0,5.1,0,0,287.2,gneE5_0,85.6,13.6,101.2,469.55,35.2,2,0,65.09,1,tripinfo_186 routing_186,DEFAULT_VEHTYPE,1,
206,206,gneE33_0,5.1,0,0,288.8,gneE35_0,85.6,9.72,82.8,481.42,26.4,1,0,48.44,1,tripinfo_206 routing_206,DEFAULT_VEHTYPE,1.08,
198,200,-gneE44_0,5.1,0,2,289.6,-gneE9_0,89.6,14.57,89.6,882.97,13.6,1,0,28.92,1,tripinfo_198 routing_198,DEFAULT_VEHTYPE,1.08,
221,220.8,-gneE46_0,5.1,0,-0.2,290,-gneE41_0,89.6,12.07,69.2,471.31,4,1,0,28.91,1,tripinfo_221 routing_221,DEFAULT_VEHTYPE,0.87,
258,258,-gneE26_0,5.1,0,0,292.4,-gneE9_0,89.6,15.05,34.4,381.84,0,0,0,8.29,1,tripinfo_258 routing_258,DEFAULT_VEHTYPE,1.1,
215,214.8,gneE5_0,5.1,0,-0.2,292.8,-gneE43_0,85.6,11.27,78,764.39,0,0,0,9.88,1,tripinfo_215 routing_215,DEFAULT_VEHTYPE,0.84,
178,178,-gneE33_0,5.1,0,0,294.8,gneE33_0,85.6,12.17,116.8,564.18,41.6,2,0,68.76,1,tripinfo_178 routing_178,DEFAULT_VEHTYPE,0.91,
204,204,-gneE45_0,5.1,0,0,295.2,-gneE43_0,85.6,12.88,91.2,369.55,39.6,3,0,60.38,1,tripinfo_204 routing_204,DEFAULT_VEHTYPE,0.94,
139,139.2,gneE48_0,5.1,0,0.2,296.8,-gneE34_0,85.6,14.69,157.6,580.08,68,5,0,116.93,1,tripinfo_139 routing_139,DEFAULT_VEHTYPE,1.07,
222,222,-gneE15_0,5.1,0,0,296.8,gneE39_0,85.6,14.19,74.8,380.29,36.4,1,0,47.48,1,tripinfo_222 routing_222,DEFAULT_VEHTYPE,1.04,
163,164.4,gneE27_0,5.1,0,1.4,298,-gneE27_0,89.6,15.51,133.6,761.7,53.6,2,0,81.18,1,tripinfo_163 routing_163,DEFAULT_VEHTYPE,1.13,
208,212.8,gneE31_0,5.1,0,4.8,298,-gneE39_0,85.6,13.12,85.2,374.92,22.8,4,0,55.49,1,tripinfo_208 routing_208,DEFAULT_VEHTYPE,0.97,
173,174.8,-gneE44_0,5.1,0,1.8,299.2,gneE26_0,85.6,12.64,124.4,669.34,18,3,0,69.38,1,tripinfo_173 routing_173,DEFAULT_VEHTYPE,0.93,
242,242,gneE37_0,5.1,0,0,301.6,-gneE44_0,85.6,11.43,59.6,576.26,0,0,0,7.17,1,tripinfo_242 routing_242,DEFAULT_VEHTYPE,0.84,
252,252,gneE36_0,5.1,0,0,302.4,gneE41_0,89.6,13.2,50.4,585.84,0,0,0,5.92,1,tripinfo_252 routing_252,DEFAULT_VEHTYPE,0.97,
131,130.8,-gneE9_0,5.1,0,-0.2,303.6,-gneE39_0,85.6,11.94,172.8,673.55,83.6,4,0,114.18,1,tripinfo_131 routing_131,DEFAULT_VEHTYPE,0.87,
205,204.8,-gneE31_0,5.1,0,-0.2,304.4,gneE42_0,89.6,12.6,99.6,476.26,31.6,3,0,59.67,1,tripinfo_205 routing_205,DEFAULT_VEHTYPE,0.92,
249,251.6,-gneE2_0,5.1,0,2.6,304.8,gneE30_0,85.6,13.54,53.2,565.94,0,0,0,10.42,1,tripinfo_249 routing_249,DEFAULT_VEHTYPE,0.99,
265,265.2,-gneE15_0,5.1,0,0.2,304.8,-gneE46_0,85.6,13.76,39.6,280.29,0,0,0,18.63,1,tripinfo_265 routing_265,DEFAULT_VEHTYPE,1.01,
226,226,-gneE38_0,5.1,0,0,305.6,gneE26_0,85.6,13.46,79.6,772.86,8,1,0,22.95,1,tripinfo_226 routing_226,DEFAULT_VEHTYPE,1,
259,258.8,-gneE34_0,5.1,0,-0.2,306,gneE14_0,85.6,15.58,47.2,380.08,7.6,2,0,21.61,1,tripinfo_259 routing_259,DEFAULT_VEHTYPE,1.13,
236,236,-gneE47_0,5.1,0,0,308.4,-gneE27_0,89.6,13.39,72.4,781.63,0,0,0,12.68,1,tripinfo_236 routing_236,DEFAULT_VEHTYPE,0.97,
223,225.6,gneE34_0,5.1,0,2.6,311.2,-gneE40_0,85.6,15.37,85.6,475.13,32,1,0,53.76,1,tripinfo_223 routing_223,DEFAULT_VEHTYPE,1.11,
257,256.8,-gneE14_0,5.1,0,-0.2,314.8,-gneE33_0,85.6,11.83,58,565.94,0,0,0,9.45,1,tripinfo_257 routing_257,DEFAULT_VEHTYPE,0.88,
282,282,-gneE0_0,6.6,0,0,315.6,gneE36_0,85.6,13.49,33.6,380.34,0,0,0,5.39,1,tripinfo_282 routing_282,bus,1,
169,168.8,-gneE12_0,5.1,0,-0.2,318,gneE45_0,85.6,5.37,149.2,669.34,71.6,2,0,100.29,1,tripinfo_169 routing_169,DEFAULT_VEHTYPE,1.04,
190,191.2,gneE12_0,5.1,0,1.2,318,gneE13_0,85.6,5.09,126.8,464.18,52,3,0,93.4,1,tripinfo_190 routing_190,DEFAULT_VEHTYPE,1.09,
